"Number","Reported Date/Time","Occurred From Date/Time","Location","Description","Disposition"
"2024-00012035","08/05/2024 16:15","08/05/2024 08:37","1212 Springfield Av, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00012035","08/05/2024 16:15","08/05/2024 08:37","1212 Springfield Av, Urbana","THEFT >$500","Cleared by Arrest"
"2024-00012035","08/05/2024 16:15","08/05/2024 08:37","1212 Springfield Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest"
"2024-00012056","08/05/2024 22:34","08/05/2024 22:34","512 S Neil St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Pending Investigation"
"2024-00012066","08/06/2024 07:48","08/05/2024 17:30","48 E John St, Champaign","MOTOR VEHICLE THEFT","Pending Investigation"
"2024-00012066","08/06/2024 07:48","08/05/2024 17:30","48 E John St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00012070","08/06/2024 11:32","08/05/2024 20:10","507 S Second St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Pending Investigation"
"2024-00012070","08/06/2024 11:32","08/05/2024 20:10","507 S Second St, Champaign","TRESPASSING-VEHICLE","Pending Investigation"
"2024-00012072","08/06/2024 14:36","08/05/2024 17:00","1409 W Green St, Urbana","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00012075","08/06/2024 16:07","08/06/2024 16:03","616 E Green St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00012075","08/06/2024 16:07","08/06/2024 16:03","616 E Green St, Champaign","HARASSMENT-BY ELECTRONIC COMMUNICATIONS","Administratively Closed"
"2024-00012081","08/06/2024 18:12","07/29/2024 16:00","1828 Orchard Pl, Urbana","THEFT-<$500","Administratively Closed"
"2024-00012105","08/07/2024 08:08","08/05/2024 14:00","1807 Orchard Pl, Urbana","THEFT-<$500","Administratively Closed"
"2024-00012105","08/07/2024 08:08","08/05/2024 14:00","1807 Orchard Pl, Urbana","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00012162","08/08/2024 13:30","07/07/2024 08:00","502 E Healey St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00012162","08/08/2024 13:30","07/07/2024 08:00","502 E Healey St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00012182","08/08/2024 20:59","08/08/2024 20:59","1401 W Green St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00012231","08/09/2024 22:11","08/09/2024 22:11","59 E Green St, Champaign","BATTERY","Administratively Closed"
"2024-00012243","08/10/2024 06:23","08/10/2024 06:00","51 E Green St, Champaign","ROBBERY-ARMED","Cleared by Arrest"
"2024-00012243","08/10/2024 06:23","08/10/2024 06:00","51 E Green St, Champaign","STOLEN PROPERTY-POSSESSION OF","Cleared by Arrest"
"2024-00012243","08/10/2024 06:23","08/10/2024 06:00","51 E Green St, Champaign","CONTROLLED SUBSTANCE-POSSESSION OF","Cleared by Arrest"
"2024-00012243","08/10/2024 06:23","08/10/2024 06:00","51 E Green St, Champaign","CREDIT/DEBIT CARD-POSSESSION OF TO DEFRAUD/SELL TO ANOTHER","Cleared by Arrest"
"2024-00012269","08/10/2024 17:15","08/09/2024 21:45","505 E Armory Av, Champaign","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Administratively Closed"
"2024-00012302","08/11/2024 14:50","08/10/2024 20:40","56 E Green St, Champaign","CREDIT/DEBIT CARD-USE OF CARD WITH INTENT TO DEFRAUD","Pending Investigation"
"2024-00012302","08/11/2024 14:50","08/10/2024 20:40","56 E Green St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"FI24002761","6/19/24 10:17","6/19/24 10:17","33 SPRINGFIELD AV, CHAMPAIGN IL","THEFT","ADMIN CLOSED"
"LT23-007","6/24/2024 11:05","2/23/2023 UNKNOWN","7702 MAIN ST, HOUSTON, TX","MOTOR VEHICLE THEFT","ADMIN CLOSED"
"LT23-008","6/24/2024 11:05","2/23/2023 UNKNOWN","7702 MAIN ST, HOUSTON, TX","MOTOR VEHICLE THEFT","ADMIN CLOSED"
"CSA24-095","6/25/24 11:10","2/28/23-9/16/23","ON CAMPUS RES HALL/NON CAMPUS","RAPE/DOMESTIC","ADMIN CLOSED"
"FI24002787","6/26/24 12:00","6/26/24 12:00","700 S GREGORY ST, URBANA IL","FRAUD","ADMIN CLOSED"
"FI24002796","6/27/24 3:52","6/27/24 3:52","N GREGORY ST/SPRINGFIELD AV, URBANA","VANDALISM","ADMIN CLOSED"
"FI24002868","7/13/24 0:26","7/13/24 0:26","211 E GREEN ST, CHAMPAIGN","SIMPLE ASSAULT","ADMIN CLOSED"
"FI24002871","7/13/24 3:18","7/13/24 3:18","S FOURTH ST/E GREEN ST, CHAMPAIGN","LIQUOR-UNDERAGE","ADMIN CLOSED"
"CSA24-101","7/16/24 16:21","JUNE 2023 - JAN 2024","NON CAMPUS PROPERTY/UNKNOWN","DOMESTIC","ADMIN CLOSED"
"CSA24-100","7/16/24 9:07","SUMMER 2024","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-102","7/25/24 9:03","NOV 2023 - JAN 2024","ON CAMPUS RES HALL","STALKING/DOMESTIC","ADMIN CLOSED"
"FI24002918","7/26/24 22:57","7/26/24 22:57","SHERMAN RESIDENCE HALL","LIQUOR-UNDERAGE","STUDENT DISC REFERRAL"
"LT23-009","7/30/2024 13:45","3/25/2023 15:20","1550 COURT PLACE, DENVER, CO","DRUG LAW VIOLATION","ADMIN CLOSED"
"CSA24-096","7/9/24 8:50","6/11/2024 12:17","OFF CAMPUS","STALKING","ADMIN CLOSED"
"FI24002851","7/9/24 9:50","7/9/24 9:50","232 BURWASH AV, SAVOY","SIMPLE ASSAULT","ADMIN CLOSED"
"CSA24-103","8/2/24 10:24","UNKNOWN 2024","ON CAMPUS","STALKING","ADMIN CLOSED"
"CSA24-105","8/3/24 13:12","Mar-24","ON CAMPUS","STALKING","ADMIN CLOSED"
"I24-11951","8/3/24 20:10","8/3/24 20:09","1401 W GREEN ST, URBANA","STALKING","ADMIN CLOSED"
"U24-16186","8/4/24 1:44","8/4/24 1:44","708 S GOODWIN AV, URBANA","AGGRAVATED ASSAULT","ADMIN CLOSED"
"U24-16186","8/4/24 1:44","8/4/24 1:44","708 S GOODWIN AV, URBANA","SIMPLE ASSAULT","ADMIN CLOSED"
"CSA24-106","8/7/24 10:32","FEBRUARY 2024 UNKNOWN","NON CAMPUS PROPERTY","AGGRAVATED ASSAULT","ADMIN CLOSED"
"CSA24-107","8/8/24 13:48","MAY 2024 - AUG 2024","ON CAMPUS","STALKING","ADMIN CLOSED"
